"gene_ID","description","organism","nomenclaturesymbol"
"XP_010736608.1",NA,NA,NA
"XP_013121172.1",NA,NA,NA
"XP_014188882.1","uncharacterized LOC102290781","Haplochromis burtoni",""
"XP_006790950.1","uncharacterized LOC102776007","Neolamprologus brichardi",""
"XP_005461901.1",NA,NA,NA
"XP_009301983.1","nuclear apoptosis inducing factor 1","Danio rerio","naif1"
"XP_009301982.1","nuclear apoptosis inducing factor 1","Danio rerio","naif1"
"YP_009058361.1","cytochrome c oxidase subunit I","Bostockia porosa",""
"NP_998422.1","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25a","Danio rerio","slc25a25a"
"XP_002663097.1","plasminogen activator, tissue","Danio rerio","plat"
"XP_008279402.1","bypass of stop codon protein 1-like","Stegastes partitus",""
"XP_005166805.1","mucin-2-like","Danio rerio",""
"NP_001119880.1","si:ch211-220d9.3","Danio rerio","si:ch211-220d9.3"
"XP_005166801.1","voltage-dependent anion channel 3","Danio rerio","vdac3"
"XP_005166803.1","voltage-dependent anion channel 3","Danio rerio","vdac3"
"NP_001116737.1","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta","Danio rerio","ikbkb"
"XP_011681191.1","uncharacterized LOC105446283","Strongylocentrotus purpuratus",""
"YP_636018.1","NADH dehydrogenase subunit 1","Cyprinella spiloptera",""
"XP_006138678.1",NA,NA,NA
"XP_005166798.1",NA,NA,NA
"XP_007229194.1","mitochondrial ribosomal protein L40","Astyanax mexicanus",""
"NP_001116736.1","si:ch211-51h9.6","Danio rerio","si:ch211-51h9.6"
"NP_998217.1","acetyl-CoA acyltransferase 2","Danio rerio","acaa2"
"XP_005166804.1","GLE1 RNA export mediator homolog (yeast)","Danio rerio","gle1"
"XP_005394096.1","dynein light chain LC8-type 2","Chinchilla lanigera",""
"NP_001003879.2","polymerase (DNA directed), beta","Danio rerio","polb"
"XP_014026285.1","DNA polymerase beta","Salmo salar",""
"XP_013867236.1","tricarboxylate transport protein, mitochondrial-like","Austrofundulus limnaeus",""
"NP_001121712.1","si:ch211-51h9.7","Danio rerio","si:ch211-51h9.7"
"NP_958883.1","SET translocation (myeloid leukemia-associated) A","Danio rerio","seta"
"XP_002663098.1","zinc finger, DHHC-type containing 12a","Danio rerio","zdhhc12a"
"NP_001091726.2","solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6a","Danio rerio","slc9a6a"
"XP_009289416.1","solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6a","Danio rerio","slc9a6a"
"XP_014163866.1","clathrin heavy chain","Geospiza fortis",""
"XP_014026298.1","B-cell linker protein-like","Salmo salar",""
"XP_009301984.1",NA,NA,NA
"XP_008283127.1","clathrin heavy chain 1-like","Stegastes partitus",""
"XP_010863279.1","clathrin heavy chain 1","Esox lucius",""
"XP_014052792.1","clathrin heavy chain 1","Salmo salar",""
"XP_014006522.1","ERCC excision repair 3, TFIIH core complex helicase subunit","Salmo salar",""
"XP_002662118.3",NA,NA,NA
"XP_005156462.1",NA,NA,NA
"XP_001922875.1","uncharacterized LOC100005636","Danio rerio",""
"XP_001344183.4","Rab interacting lysosomal protein","Danio rerio","rilp"
"NP_001074095.1","lysyl oxidase-like 2b","Danio rerio","loxl2b"
"NP_001107115.1","dopamine receptor D7","Danio rerio","drd7"
"XP_009300436.1",NA,NA,NA
"XP_007255486.1","galactosylceramidase","Astyanax mexicanus",""
"NP_001077286.1","uncharacterized LOC553308","Danio rerio",""
"XP_009301675.1","si:ch211-150e22.5","Danio rerio","si:ch211-150e22.5"
"XP_012688458.1","solute carrier family 30 member 10","Clupea harengus",""
"XP_012688368.1","diacylglycerol O-acyltransferase 1-like","Clupea harengus",""
"NP_956024.1","diacylglycerol O-acyltransferase 1a","Danio rerio","dgat1a"
"NP_956367.1","ribosomal protein S6 kinase a, like","Danio rerio","rps6kal"
"XP_009290247.1","zinc finger protein 239-like","Danio rerio",""
"XP_012688186.1","uncharacterized LOC105904798","Clupea harengus",""
"XP_012988397.1","uncharacterized LOC106024053","Esox lucius",""
"XP_010737793.1",NA,NA,NA
"XP_694950.3","transglutaminase 1 like 1","Danio rerio","tgm1l1"
"XP_011487726.1","uncharacterized LOC105356774","Oryzias latipes",""
"XP_011617318.1","copine family member 9","Takifugu rubripes",""
"XP_012687988.1","calcium-binding protein 2-like","Clupea harengus",""
"NP_001098994.1","tubulin tyrosine ligase-like family, member 6","Danio rerio","ttll6"
"XP_013889457.1","deleted in malignant brain tumors 1 protein-like","Austrofundulus limnaeus",""
"NP_001292393.1","polymerase (DNA directed), alpha 1","Danio rerio","pola1"
"NP_571459.1","aristaless related homeobox a","Danio rerio","arxa"
"XP_009302552.1","chloride channel 6","Danio rerio","clcn6"
"XP_001340092.5",NA,NA,NA
"NP_001116524.1","endoplasmic reticulum aminopeptidase 2","Danio rerio","erap2"
"XP_007256257.1","semaphorin-3F-like","Astyanax mexicanus",""
"XP_010736524.1",NA,NA,NA
"NP_001041532.2","protein-O-mannosyltransferase 1","Danio rerio","pomt1"
"XP_009301944.1","HECT domain E3 ubiquitin protein ligase 4","Danio rerio",""
"XP_005172962.1","ataxin 7-like 2a","Danio rerio","atxn7l2a"
"XP_007239477.1","beta-secretase 1","Astyanax mexicanus",""
"XP_002664681.1","WD repeat domain 81","Danio rerio","wdr81"
"XP_005174647.1","microtubule-associated protein tau-like","Danio rerio",""
"XP_005162980.2","microtubule-associated protein 4-like","Danio rerio",""
"XP_002666176.1","si:ch211-103a14.5","Danio rerio","si:ch211-103a14.5"
"XP_005166490.1","protein tyrosine phosphatase, receptor type, J a","Danio rerio","ptprja"
"XP_009301645.1","protein tyrosine phosphatase, receptor type, J a","Danio rerio","ptprja"
"NP_001129714.1","protein tyrosine phosphatase, receptor type, J a","Danio rerio","ptprja"
"XP_001923860.1","si:ch73-29l19.1","Danio rerio","si:ch73-29l19.1"
"XP_700508.5","sperm-associated antigen 8-like","Danio rerio",""
"NP_571588.1","cyclin B1","Danio rerio","ccnb1"
"XP_012991096.1",NA,NA,NA
"XP_006038512.1","sulfotransferase family cytosolic 1B member 1-like","Alligator sinensis",""
"XP_009290328.1","trafficking protein, kinesin binding 1","Danio rerio","trak1"
"XP_013868639.1","RNA-directed DNA polymerase from mobile element jockey-like","Austrofundulus limnaeus",""
"NP_998653.1","ARP5 actin-related protein 5 homolog","Danio rerio","actr5"
"NP_775367.1","TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor","Danio rerio","taf7"
"NP_001074036.1","dystrophin related protein 2","Danio rerio","drp2"
"XP_005173542.1","si:ch211-69g19.2","Danio rerio","si:ch211-69g19.2"
"NP_571234.2","E74-like factor 1 (ets domain transcription factor)","Danio rerio","ef1"
"NP_001107885.1","tenomodulin","Danio rerio","tnmd"
"XP_005799639.1","tenomodulin","Xiphophorus maculatus",""
"XP_013121624.1",NA,NA,NA
"XP_696266.3","prolyl 3-hydroxylase 3","Danio rerio","p3h3"
"XP_005157178.1","transmembrane protein 173","Danio rerio","tmem173"
"NP_991133.2","zgc:73226","Danio rerio","zgc:73226"
"NP_999920.2","ubiquitin specific protease 5","Danio rerio","usp5"
"XP_005798804.1",NA,NA,NA
"XP_014059284.1","zinc finger protein OZF-like","Salmo salar",""
"XP_013914142.1","zinc finger protein 397-like","Thamnophis sirtalis",""
"NP_571126.1","T-box 2b","Danio rerio","tbx2b"
"XP_005157924.1","abhydrolase domain containing 5a","Danio rerio","abhd5a"
"XP_014266358.1","sorbin and SH3 domain containing 2","Maylandia zebra",""
"XP_005163347.1","dipeptidyl-peptidase 6b","Danio rerio","dpp6b"
"NP_001018547.2","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","Danio rerio","nr3c1"
"XP_007236145.1",NA,NA,NA
"XP_700512.7",NA,NA,NA
"NP_001070793.1","mitochondrial calcium uniporter","Danio rerio","mcu"
"XP_005999365.1",NA,NA,NA
"XP_006822537.1","uncharacterized LOC102802199","Saccoglossus kowalevskii",""
"NP_001034893.1","inositol polyphosphate phosphatase-like 1a","Danio rerio","inppl1a"
"NP_001038284.1","SAM and SH3 domain containing 1a","Danio rerio","sash1a"
"XP_010768552.1","SAM and SH3 domain containing 1","Notothenia coriiceps",""
"XP_006625932.1",NA,NA,NA
"XP_008395966.1","SAM and SH3 domain containing 1","Poecilia reticulata",""
"XP_013123904.1","ras-specific guanine nucleotide-releasing factor 1","Oreochromis niloticus",""
"XP_002665395.1","si:ch211-234p18.3","Danio rerio","si:ch211-234p18.3"
"XP_006628952.1","FERM domain containing 5","Lepisosteus oculatus",""
"XP_011605163.1","FERM domain-containing protein 5-like","Takifugu rubripes",""
"XP_005470809.1","ras-specific guanine nucleotide-releasing factor 1","Oreochromis niloticus",""
"NP_001070103.2","IBA57 homolog, iron-sulfur cluster assembly","Danio rerio","iba57"
"XP_701357.4",NA,NA,NA
"NP_997853.1","cathepsin H","Danio rerio","ctsh"
"XP_009298296.1",NA,NA,NA
"XP_005917014.1","phospholipase C beta 2","Haplochromis burtoni",""
"XP_012777219.1","phospholipase C beta 2","Maylandia zebra",""
"XP_008115622.1","protein kinase C epsilon","Anolis carolinensis",""
"XP_684327.6","AF4/FMR2 family, member 4","Danio rerio","aff4"
"XP_012987504.1",NA,NA,NA
"XP_009296831.1","protein phosphatase 2, regulatory subunit B'', alpha","Danio rerio","ppp2r3a"
"XP_004073114.1","methionyl-tRNA synthetase 2, mitochondrial","Oryzias latipes",""
"NP_956151.1","heat shock protein 4b","Danio rerio","hspa4b"
"XP_005169631.1","HMG box domain containing 3","Danio rerio","hmgxb3"
"XP_011611180.1","beta-1,3-galactosyltransferase 2-like","Takifugu rubripes",""
"XP_003201135.2","beta-1,3-galactosyltransferase 2-like","Danio rerio",""
"NP_998145.1","X-prolyl aminopeptidase (aminopeptidase P) 1, soluble","Danio rerio","xpnpep1"
"XP_009291734.1",NA,NA,NA
"XP_009289278.1","LIM and calponin homology domains 1b","Danio rerio","limch1b"
"XP_013996726.1","5'-AMP-activated protein kinase subunit beta-2-like","Salmo salar",""
"XP_010729725.1",NA,NA,NA
"XP_009289279.1","LIM and calponin homology domains 1b","Danio rerio","limch1b"
"XP_009289281.1","LIM and calponin homology domains 1b","Danio rerio","limch1b"
"XP_005174054.1","novel NACHT domain containing protein","Danio rerio",""
"XP_009294438.1",NA,NA,NA
"XP_009294440.1","ribonuclease inhibitor-like","Danio rerio",""
"XP_009294416.1",NA,NA,NA
"XP_697084.4","wu:fb95e10","Danio rerio","wu:fb95e10"
"XP_005159229.1","tetraspanin 18b","Danio rerio","tspan18b"
"NP_956938.1","N-acetyltransferase 10","Danio rerio","nat10"
"NP_571186.1","LIM domain only 2 (rhombotin-like 1)","Danio rerio","lmo2"
"NP_998233.1","cell cycle associated protein 1b","Danio rerio","caprin1b"
"YP_220627.1","cytochrome b","Sundasalanx mekongensis",""
"XP_005173689.1",NA,NA,NA
"XP_008414302.1","dynamin 2","Poecilia reticulata",""
"XP_005164300.1","dynamin 2a","Danio rerio","dnm2a"
"XP_007230375.1","plexin domain containing 2","Astyanax mexicanus",""
"NP_991192.2","FAST kinase domains 1","Danio rerio","fastkd1"
"XP_690559.4","si:dkey-10f23.2","Danio rerio","si:dkey-10f23.2"
"XP_002663472.1","coiled-coil domain containing 173","Danio rerio","ccdc173"
"XP_010752184.1",NA,NA,NA
"NP_001289553.1","small integral membrane protein 20","Danio rerio","smim20"
"XP_010874138.1","zinc finger and BTB domain containing 46","Esox lucius",""
"NP_001187550.1","proteasome subunit beta 7","Ictalurus punctatus",""
"NP_001039029.2","proteasome subunit beta 7","Danio rerio","psmb7"
"XP_009294977.1",NA,NA,NA
"XP_012988868.1","uncharacterized LOC106024256","Esox lucius",""
"XP_009299347.1",NA,NA,NA
"XP_009299090.1","gastrula zinc finger protein XlCGF57.1-like","Danio rerio",""
"XP_009299301.1","si:dkey-262g12.7","Danio rerio","si:dkey-262g12.7"
"XP_003201535.1","si:cabz01021430.2","Danio rerio","si:cabz01021430.2"
"XP_003198756.1","gastrula zinc finger protein XlCGF8.2DB-like","Danio rerio",""
"NP_001107958.1","zgc:174314","Danio rerio","zgc:174314"
"XP_013856072.1","uncharacterized LOC106511893","Austrofundulus limnaeus",""
"XP_014187228.1","uncharacterized LOC106632981","Haplochromis burtoni",""
"XP_013421241.1","uncharacterized LOC106181414","Lingula anatina",""
"XP_013998229.1","zinc transporter ZIP4-like","Salmo salar",""
"XP_005173777.2",NA,NA,NA
"NP_001074090.1","zgc:158464","Danio rerio","zgc:158464"
"NP_001007379.1","PTC7 protein phosphatase homolog a","Danio rerio","pptc7a"
"XP_012688052.1","zinc-alpha-2-glycoprotein-like","Clupea harengus",""
"XP_005158063.1","phytanoyl-CoA 2-hydroxylase interacting protein-like b","Danio rerio","phyhiplb"
"XP_013889986.1","uncharacterized LOC106537159","Austrofundulus limnaeus",""
"XP_005465592.1","uncharacterized LOC102079324","Oreochromis niloticus",""
"XP_692447.5",NA,NA,NA
"NP_999922.1","anti-silencing function 1Bb histone chaperone","Danio rerio","asf1bb"
"XP_684184.3","zmp:0000000699","Danio rerio","zmp:0000000699"
"XP_684086.4","si:dkey-85k7.12","Danio rerio","si:dkey-85k7.12"
"XP_014011573.1","interferon-induced very large GTPase 1-like","Salmo salar",""
"XP_697747.4","si:ch211-107m4.1","Danio rerio","si:ch211-107m4.1"
"XP_009298114.1","neuronal acetylcholine receptor subunit alpha-5-like","Danio rerio",""
"XP_005475031.1","lysophosphatidylglycerol acyltransferase 1","Oreochromis niloticus",""
"XP_005163698.1",NA,NA,NA
"NP_001035134.1","myosin, light chain 2b, regulatory, cardiac, slow","Danio rerio","myl2b"
"XP_003974776.2","myosin regulatory light chain 2, ventricular/cardiac muscle isoform-like","Takifugu rubripes",""
"XP_005156595.1","ATP-binding cassette, sub-family G (WHITE), member 8","Danio rerio","abcg8"
"XP_005156596.1","ATP-binding cassette, sub-family G (WHITE), member 8","Danio rerio","abcg8"
"XP_012696872.1","ATP binding cassette subfamily G member 8","Clupea harengus",""
"XP_006625736.1",NA,NA,NA
"XP_012680173.1","XK-related protein 6-like","Clupea harengus",""
"XP_006633473.1",NA,NA,NA
"NP_001020721.1","family with sequence similarity 167, member Ab","Danio rerio","fam167ab"
"XP_007256692.1","myotubularin related protein 9","Astyanax mexicanus",""
"NP_001002315.1","cerebral cavernous malformation 2","Danio rerio","ccm2"
"XP_007247246.1","cut like homeobox 2","Astyanax mexicanus",""
"XP_009290156.1",NA,NA,NA
"XP_005173471.2","myelin-associated glycoprotein-like","Danio rerio",""
"NP_001091733.1","si:ch73-380l3.2","Danio rerio","si:ch73-380l3.2"
"NP_001038580.1","zinc finger protein 395b","Danio rerio","znf395b"
"XP_692358.2",NA,NA,NA
"XP_009305278.1",NA,NA,NA
"XP_009305277.1","discs, large homolog 5b (Drosophila), tandem duplicate 1","Danio rerio","dlg5b.1"
"XP_001919802.4","cell migration inducing protein, hyaluronan binding","Danio rerio","cemip"
"XP_007258235.1","exocyst complex component 2","Astyanax mexicanus",""
"NP_956898.1","exocyst complex component 2","Danio rerio","exoc2"
"NP_998072.1","forkhead box Q1b","Danio rerio","foxq1b"
"NP_001008402.1","exostosin-like glycosyltransferase 3","Danio rerio","extl3"
"NP_571902.1","zona pellucida glycoprotein 2, tandem duplicate 2","Danio rerio","zp2.2"
"XP_002665864.2","si:zfos-1505d6.3","Danio rerio","si:zfos-1505d6.3"
"NP_571903.1",NA,NA,NA
"NP_571904.1",NA,NA,NA
"XP_009296303.1",NA,NA,NA
"NP_001093446.1","crystallin, zeta (quinone reductase)","Danio rerio","cryz"
"XP_012813705.1","Beta-1,3-galactosyltransferase 5","Xenopus tropicalis","b3galt5"
"XP_001334154.3","si:zfos-741a10.3","Danio rerio","si:zfos-741a10.3"
"XP_009301745.1",NA,NA,NA
"NP_001106947.1","solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6b","Danio rerio","slc9a6b"
"NP_957497.1","HIV-1 Tat specific factor 1","Danio rerio","htatsf1"
"XP_009303591.1","tripartite motif containing 3b","Danio rerio","trim3b"
"XP_005155434.1","tripartite motif containing 3b","Danio rerio","trim3b"
"XP_010899762.1","fibroblast growth factor 13","Esox lucius",""
"XP_005155425.1",NA,NA,NA
"XP_012989114.1","fibroblast growth factor 13","Esox lucius",""
"XP_011478253.1","fibroblast growth factor 13","Oryzias latipes",""
"NP_954687.1","four and a half LIM domains 1b","Danio rerio","fhl1b"
"XP_009303621.1",NA,NA,NA
"NP_001269304.1","teleost multiple tissue opsin 3b","Danio rerio","tmtops3b"
"XP_005155416.1","synaptojanin 1","Danio rerio","synj1"
"NP_001007031.1",NA,NA,NA
"XP_014010263.1","BicC family RNA binding protein 1","Salmo salar",""
"XP_005161695.1","uncharacterized LOC101882211","Danio rerio",""
"NP_001103598.1","zgc:171500","Danio rerio","zgc:171500"
"NP_705943.1","prostaglandin-endoperoxide synthase 2a","Danio rerio","ptgs2a"
"XP_014046503.1","phosphatase and actin regulator 1-like","Salmo salar",""
"XP_012988288.1","uncharacterized LOC106024030","Esox lucius",""
"XP_001343463.1","si:dkey-85k7.10","Danio rerio","si:dkey-85k7.10"
"XP_005158717.1",NA,NA,NA
"XP_007257287.1","6-pyruvoyltetrahydropterin synthase","Astyanax mexicanus",""
"NP_001092237.1","6-pyruvoyltetrahydropterin synthase","Danio rerio","pts"
"XP_012670027.1","6-pyruvoyltetrahydropterin synthase","Clupea harengus",""
"XP_009304634.1","glucagon-like peptide 2 receptor","Danio rerio",""
"XP_001332545.4",NA,NA,NA
"XP_007257285.1","recoverin","Astyanax mexicanus",""
"XP_002666276.2","nischarin","Danio rerio","nisch"
"XP_009298750.1",NA,NA,NA
"XP_002661460.4","protein NLRC3-like","Danio rerio",""
"XP_009298819.1",NA,NA,NA
"XP_002661905.3","protein NLRC3-like","Danio rerio",""
"XP_009298829.1",NA,NA,NA
"XP_683030.7","NACHT, LRR and PYD domains-containing protein 12-like","Danio rerio",""
"NP_001116723.1","si:dkey-233e3.2","Danio rerio","si:dkey-233e3.2"
"XP_009299366.1",NA,NA,NA
"NP_001094426.1","si:dkeyp-4c4.1","Danio rerio","si:dkeyp-4c4.1"
"NP_001092698.3","CD248 molecule, endosialin a","Danio rerio","cd248a"
"XP_005159876.1","tweety family member 3b","Danio rerio","ttyh3b"
"XP_005989450.1",NA,NA,NA
"NP_001004608.1","tropomodulin 2","Danio rerio","tmod2"
"XP_008296307.1","Rho GTPase activating protein 26","Stegastes partitus",""
"XP_009295543.1","dipeptidyl-peptidase 6a","Danio rerio","dpp6a"
"NP_571555.1","signal transducer and activator of transcription 1a","Danio rerio","stat1a"
"XP_001342230.2","unc-5 netrin receptor Db","Danio rerio","unc5db"
"XP_012993016.1",NA,NA,NA
"NP_956156.2","leucine rich repeat containing 40","Danio rerio","lrrc40"
"XP_005166024.1","leucine rich repeat containing 7","Danio rerio","lrrc7"
"XP_005166025.1","leucine rich repeat containing 7","Danio rerio","lrrc7"
"XP_009291312.1","baculoviral IAP repeat containing 6","Danio rerio","birc6"
"NP_956328.1","stress-associated endoplasmic reticulum protein 1","Danio rerio","serp1"
"XP_011476372.1","bromodomain containing 4","Oryzias latipes",""
"XP_005164289.1","unkempt family zinc finger-like","Danio rerio","unkl"
"XP_005164296.2","uncharacterized LOC101882899","Danio rerio",""
